Date.Time,Transaction.Code,Transaction.Subcode,Symbol,Buy.Sell,Open.Close,Quantity,Expiration.Date,Strike,Call.Put,Price,Fees,Amount,Description
3/25/2020 17:00,Money Movement,Deposit,,,,NA,,NA,,NA,0,100,ACH DEPOSIT
3/26/2020 17:00,Money Movement,Deposit,,,,NA,,NA,,NA,0,400,ACH DEPOSIT
3/27/2020 10:59,Trade,Sell to Open,SPY,Sell,Open,1,5/15/2020,245,P,16.34,1.182,1634,Sold 1 SPY 05/15/20 Put 245.00 @ 16.34
3/27/2020 10:59,Trade,Buy to Open,SPY,Buy,Open,1,5/15/2020,244,P,16.02,1.14,-1602,Bought 1 SPY 05/15/20 Put 244.00 @ 16.02
4/9/2020 12:44,Trade,Sell to Close,SPY,Sell,Close,1,5/15/2020,244,P,4.38,0.152,438,Sold 1 SPY 05/15/20 Put 244.00 @ 4.38
4/9/2020 12:44,Trade,Buy to Close,SPY,Buy,Close,1,5/15/2020,245,P,4.53,0.14,-453,Bought 1 SPY 05/15/20 Put 245.00 @ 4.53
4/10/2020 8:24,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.01,Regulatory fee adjustment
4/13/2020 13:40,Trade,Buy to Open,IWM,Buy,Open,1,5/22/2020,116,P,6.45,1.14,-645,Bought 1 IWM 05/22/20 Put 116.00 @ 6.45
4/13/2020 13:40,Trade,Sell to Open,IWM,Sell,Open,1,5/22/2020,117,P,6.8,1.162,680,Sold 1 IWM 05/22/20 Put 117.00 @ 6.80
4/21/2020 17:00,Money Movement,Deposit,,,,NA,,NA,,NA,0,250,ACH DEPOSIT
4/22/2020 14:32,Trade,Sell to Open,BAC,Sell,Open,1,6/19/2020,21,P,1.82,1.152,182,Sold 1 BAC 06/19/20 Put 21.00 @ 1.82
4/22/2020 14:32,Trade,Buy to Open,BAC,Buy,Open,1,6/19/2020,18,P,0.89,1.14,-89,Bought 1 BAC 06/19/20 Put 18.00 @ 0.89
4/25/2020 9:25,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.01,Regulatory fee adjustment
4/29/2020 11:02,Trade,Buy to Close,BAC,Buy,Close,1,6/19/2020,21,P,0.54,0.14,-54,Bought 1 BAC 06/19/20 Put 21.00 @ 0.54
4/29/2020 11:02,Trade,Sell to Close,BAC,Sell,Close,1,6/19/2020,18,P,0.23,0.152,23,Sold 1 BAC 06/19/20 Put 18.00 @ 0.23
4/29/2020 11:53,Trade,Sell to Close,IWM,Sell,Close,1,5/22/2020,116,P,0.68,0.152,68,Sold 1 IWM 05/22/20 Put 116.00 @ 0.68
4/29/2020 11:53,Trade,Buy to Close,IWM,Buy,Close,1,5/22/2020,117,P,0.78,0.14,-78,Bought 1 IWM 05/22/20 Put 117.00 @ 0.78
4/30/2020 12:17,Trade,Buy to Open,TWTR,Buy,Open,1,6/19/2020,25,P,0.88,1.14,-88,Bought 1 TWTR 06/19/20 Put 25.00 @ 0.88
4/30/2020 12:17,Trade,Sell to Open,TWTR,Sell,Open,1,6/19/2020,28,P,1.89,1.152,189,Sold 1 TWTR 06/19/20 Put 28.00 @ 1.89
5/2/2020 9:16,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.02,Regulatory fee adjustment
5/15/2020 17:00,Money Movement,Deposit,,,,NA,,NA,,NA,0,250,ACH DEPOSIT
5/20/2020 10:25,Trade,Sell to Close,TWTR,Sell,Close,1,6/19/2020,25,P,0.18,0.152,18,Sold 1 TWTR 06/19/20 Put 25.00 @ 0.18
5/20/2020 10:25,Trade,Buy to Close,TWTR,Buy,Close,1,6/19/2020,28,P,0.55,0.14,-55,Bought 1 TWTR 06/19/20 Put 28.00 @ 0.55
5/20/2020 12:05,Trade,Sell to Open,BABA,Sell,Open,1,6/19/2020,212.5,P,6.9,1.162,690,Sold 1 BABA 06/19/20 Put 212.50 @ 6.90
5/20/2020 12:05,Trade,Buy to Open,BABA,Buy,Open,1,6/19/2020,210,P,5.99,1.14,-599,Bought 1 BABA 06/19/20 Put 210.00 @ 5.99
5/20/2020 12:45,Trade,Sell to Open,SPY,Sell,Open,1,7/17/2020,304,C,6.79,1.162,679,Sold 1 SPY 07/17/20 Call 304.00 @ 6.79
5/20/2020 12:45,Trade,Buy to Open,SPY,Buy,Open,1,7/17/2020,303,C,7.29,1.14,-729,Bought 1 SPY 07/17/20 Call 303.00 @ 7.29
5/23/2020 9:42,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.01,Regulatory fee adjustment
6/3/2020 10:06,Trade,Sell to Close,BABA,Sell,Close,1,6/19/2020,210,P,3.35,0.152,335,Sold 1 BABA 06/19/20 Put 210.00 @ 3.35
6/3/2020 10:06,Trade,Buy to Close,BABA,Buy,Close,1,6/19/2020,212.5,P,4.24,0.14,-424,Bought 1 BABA 06/19/20 Put 212.50 @ 4.24
6/3/2020 11:22,Trade,Sell to Open,AAPL,Sell,Open,1,7/10/2020,335,C,5.05,1.162,505,Sold 1 AAPL 07/10/20 Call 335.00 @ 5.05
6/3/2020 11:22,Trade,Sell to Open,AAPL,Sell,Open,1,7/10/2020,320,P,8.9,1.162,890,Sold 1 AAPL 07/10/20 Put 320.00 @ 8.90
6/3/2020 11:22,Trade,Buy to Open,AAPL,Buy,Open,1,7/10/2020,337.5,C,4.2,1.14,-420,Bought 1 AAPL 07/10/20 Call 337.50 @ 4.20
6/3/2020 11:22,Trade,Buy to Open,AAPL,Buy,Open,1,7/10/2020,317.5,P,8,1.14,-800,Bought 1 AAPL 07/10/20 Put 317.50 @ 8.00
6/6/2020 9:58,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.01,Regulatory fee adjustment
6/9/2020 14:53,Trade,Buy to Open,NFLX,Buy,Open,1,7/17/2020,410,P,13.48,1.14,-1348,Bought 1 NFLX 07/17/20 Put 410.00 @ 13.48
6/9/2020 14:53,Trade,Sell to Open,NFLX,Sell,Open,1,7/17/2020,415,P,15.23,1.182,1523,Sold 1 NFLX 07/17/20 Put 415.00 @ 15.23
6/13/2020 10:12,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.01,Regulatory fee adjustment
6/16/2020 11:38,Trade,Sell to Open,AAPL,Sell,Open,1,7/10/2020,330,P,5.23,1.162,523,Sold 1 AAPL 07/10/20 Put 330.00 @ 5.23
6/16/2020 11:38,Trade,Sell to Close,AAPL,Sell,Close,1,7/10/2020,317.5,P,3.07,0.152,307,Sold 1 AAPL 07/10/20 Put 317.50 @ 3.07
6/16/2020 11:38,Trade,Buy to Open,AAPL,Buy,Open,1,7/10/2020,327.5,P,4.7,1.14,-470,Bought 1 AAPL 07/10/20 Put 327.50 @ 4.70
6/16/2020 11:38,Trade,Buy to Close,AAPL,Buy,Close,1,7/10/2020,320,P,3.42,0.14,-342,Bought 1 AAPL 07/10/20 Put 320.00 @ 3.42
6/18/2020 17:00,Money Movement,Deposit,,,,NA,,NA,,NA,0,250,ACH DEPOSIT
6/20/2020 9:47,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.02,Regulatory fee adjustment
6/22/2020 9:33,Trade,Sell to Close,NFLX,Sell,Close,1,7/17/2020,410,P,8.82,0.162,882,Sold 1 NFLX 07/17/20 Put 410.00 @ 8.82
6/22/2020 9:33,Trade,Buy to Close,NFLX,Buy,Close,1,7/17/2020,415,P,10.13,0.14,-1013,Bought 1 NFLX 07/17/20 Put 415.00 @ 10.13
6/23/2020 9:42,Trade,Sell to Open,AAPL,Sell,Open,1,7/24/2020,352.5,P,8.41,1.162,841,Sold 1 AAPL 07/24/20 Put 352.50 @ 8.41
6/23/2020 9:42,Trade,Sell to Close,AAPL,Sell,Close,1,7/10/2020,337.5,C,28.52,0.212,2852,Sold 1 AAPL 07/10/20 Call 337.50 @ 28.52
6/23/2020 9:42,Trade,Buy to Open,AAPL,Buy,Open,1,7/24/2020,342.5,P,5.55,1.14,-555,Bought 1 AAPL 07/24/20 Put 342.50 @ 5.55
6/23/2020 9:42,Trade,Buy to Close,AAPL,Buy,Close,1,7/10/2020,335,C,30.94,0.14,-3094,Bought 1 AAPL 07/10/20 Call 335.00 @ 30.94
6/23/2020 10:06,Trade,Buy to Close,SPY,Buy,Close,1,7/17/2020,304,C,14.06,0.14,-1406,Bought 1 SPY 07/17/20 Call 304.00 @ 14.06
