Date,FDFIX,FLXSX,FLAPX,FITFX,FIBUX,BND,SHV
2017-06-01,9.610501289367676,9.58343505859375,9.661137580871582,10.00048542022705,9.157721519470215,72.84724426269531,104.779052734375
2017-06-02,9.638411521911621,9.64863109588623,9.670419692993164,10.092233657836914,9.18460750579834,73.08770751953125,104.7980728149414
2017-06-05,9.629107475280762,9.592750549316406,9.642577171325684,10.073883056640625,9.166682243347168,72.97193908691406,104.78857421875
2017-06-06,9.60119915008545,9.58343505859375,9.605454444885254,10.055532455444336,9.18460750579834,73.10550689697266,104.779052734375
2017-06-07,9.619805335998535,9.592750549316406,9.605454444885254,10.03718376159668,9.17564868927002,73.00755310058594,104.78857421875
2017-06-08,9.619805335998535,9.723136901855469,9.63329792022705,10.03718376159668,9.166682243347168,72.95410919189453,104.78857421875
2017-06-09,9.619805335998535,9.769704818725586,9.63329792022705,10.009659767150879,9.157721519470215,72.89179992675781,104.779052734375
2017-06-12,9.610501289367676,9.751077651977539,9.642577171325684,9.963785171508789,9.157721519470215,72.87397003173828,104.76952362060547
2017-06-13,9.647714614868164,9.797643661499023,9.707542419433594,10.018835067749023,9.157721519470215,72.89179992675781,104.80757141113281
2017-06-14,9.638411521911621,9.7417631149292,9.679699897766113,10.018835067749023,9.193568229675293,73.15892791748047,104.80757141113281
2017-06-15,9.619805335998535,9.695197105407715,9.661137580871582,9.917912483215332,9.17564868927002,73.0787582397461,104.80757141113281
2017-06-16,9.629107475280762,9.667257308959961,9.661137580871582,9.991310119628906,9.18460750579834,73.15892791748047,104.81708526611328
2017-06-19,9.703536987304688,9.751077651977539,9.735383033752441,10.046358108520508,9.166682243347168,73.05207061767578,104.81708526611328
2017-06-20,9.638411521911621,9.639317512512207,9.642577171325684,9.972960472106934,9.18460750579834,73.15892791748047,104.81708526611328
2017-06-21,9.638411521911621,9.62069034576416,9.61473560333252,9.963785171508789,9.18460750579834,73.19453430175781,104.81708526611328
2017-06-22,9.629107475280762,9.64863109588623,9.624016761779785,9.982134819030762,9.193568229675293,73.22126770019531,104.8360824584961
2017-06-23,9.647714614868164,9.723136901855469,9.651857376098633,10.00048542022705,9.193568229675293,73.23908233642578,104.8456039428711
2017-06-26,9.647714614868164,9.7417631149292,9.679699897766113,10.028009414672852,9.202524185180664,73.31919860839844,104.82657623291016
2017-06-27,9.573287963867188,9.64863109588623,9.605454444885254,10.03718376159668,9.166682243347168,73.06987762451172,104.82657623291016
2017-06-28,9.65701961517334,9.806957244873047,9.688979148864746,10.092233657836914,9.166682243347168,73.06987762451172,104.8360824584961
2017-06-29,9.573287963867188,9.7417631149292,9.61473560333252,10.018835067749023,9.148760795593262,72.91851806640625,104.8456039428711
2017-06-30,9.591894149780273,9.7417631149292,9.642577171325684,10.009659767150879,9.139798164367676,72.86509704589844,104.85509490966797
2017-07-03,9.610501289367676,9.816269874572754,9.679699897766113,10.028009414672852,9.11291790008545,72.87310791015625,104.84654235839844
2017-07-05,9.629107475280762,9.769704818725586,9.661137580871582,10.009659767150879,9.121880531311035,72.91785430908203,104.84654235839844
2017-07-06,9.536072731018066,9.639317512512207,9.549771308898926,9.991310119628906,9.11291790008545,72.7479476928711,104.87507629394531
2017-07-07,9.597573280334473,9.7417631149292,9.61473560333252,9.972960472106934,9.103960037231445,72.73004913330078,104.86556243896484
2017-07-10,9.606889724731445,9.685882568359375,9.61473560333252,10.00048542022705,9.11291790008545,72.76583099365234,104.87507629394531
2017-07-11,9.597573280334473,9.723136901855469,9.61473560333252,10.03718376159668,9.11291790008545,72.83733367919922,104.8940658569336
2017-07-12,9.672117233276367,9.797643661499023,9.688979148864746,10.147281646728516,9.139798164367676,73.00723266601562,104.90357971191406
2017-07-13,9.690752983093262,9.806957244873047,9.71682357788086,10.183980941772461,9.121880531311035,72.98040771484375,104.8940658569336
2017-07-14,9.737342834472656,9.834897994995117,9.753946304321289,10.275727272033691,9.130840301513672,73.00723266601562,104.92259979248047
2017-07-17,9.737342834472656,9.853524208068848,9.772505760192871,10.257377624511719,9.139798164367676,73.10562896728516,104.92259979248047
2017-07-18,9.746663093566895,9.825584411621094,9.744664192199707,10.26655387878418,9.166682243347168,73.27550506591797,104.91310119628906
2017-07-19,9.793252944946289,9.918716430664062,9.81890869140625,10.312426567077637,9.166682243347168,73.28443145751953,104.91310119628906
2017-07-20,9.793252944946289,9.928030967712402,9.809627532958984,10.349124908447266,9.166682243347168,73.3291244506836,104.92259979248047
2017-07-21,9.793252944946289,9.881464004516602,9.809627532958984,10.312426567077637,9.17564868927002,73.40962982177734,104.91310119628906
2017-07-24,9.783933639526367,9.900090217590332,9.809627532958984,10.303252220153809,9.166682243347168,73.37385559082031,104.92259979248047
2017-07-25,9.811887741088867,9.98391056060791,9.85603141784668,10.312426567077637,9.130840301513672,73.09664916992188,104.87507629394531
2017-07-26,9.811887741088867,9.928030967712402,9.828190803527832,10.385823249816895,9.157721519470215,73.27550506591797,104.92259979248047
2017-07-27,9.802571296691895,9.872150421142578,9.800349235534668,10.35830020904541,9.148760795593262,73.1860580444336,104.92259979248047
2017-07-28,9.793252944946289,9.844210624694824,9.791068077087402,10.35830020904541,9.157721519470215,73.32018280029297,104.94158935546875
2017-07-31,9.783933639526367,9.816269874572754,9.781786918640137,10.376648902893066,9.157721519470215,73.31126403808594,104.96061706542969
2017-08-01,9.811887741088867,9.834897994995117,9.800349235534668,10.4316987991333,9.17564868927002,73.609375,104.94828033447266
