Adj Close,Close,High,Low,Open,Volume
SHV,SHV,SHV,SHV,SHV,SHV
104.77906799316406,110.25,110.2699966430664,110.23999786376953,110.23999786376953,278400.0
104.79806518554688,110.2699966430664,110.2699966430664,110.25,110.25,737100.0
104.78853607177734,110.26000213623047,110.2699966430664,110.25,110.2699966430664,292300.0
104.77906799316406,110.25,110.27999877929688,110.23999786376953,110.2699966430664,683200.0
104.78853607177734,110.26000213623047,110.26000213623047,110.23999786376953,110.26000213623047,424300.0
104.78853607177734,110.26000213623047,110.26000213623047,110.25,110.25,368200.0
104.77906799316406,110.25,110.26000213623047,110.23999786376953,110.25,367500.0
104.76952362060547,110.23999786376953,110.26000213623047,110.23999786376953,110.23999786376953,379400.0
104.80757904052734,110.27999877929688,110.29000091552734,110.25,110.25,1504200.0
104.80757904052734,110.27999877929688,110.33000183105469,110.2699966430664,110.2699966430664,1330500.0
104.80757904052734,110.27999877929688,110.29000091552734,110.26000213623047,110.29000091552734,1182700.0
104.81708526611328,110.29000091552734,110.30000305175781,110.27999877929688,110.27999877929688,1131300.0
104.81708526611328,110.29000091552734,110.30000305175781,110.2699966430664,110.27999877929688,545000.0
104.81708526611328,110.29000091552734,110.30000305175781,110.27999877929688,110.30000305175781,642800.0
104.81708526611328,110.29000091552734,110.30000305175781,110.29000091552734,110.29000091552734,674100.0
104.83607482910156,110.30999755859375,110.31999969482422,110.27999877929688,110.29000091552734,1300000.0
104.84561157226562,110.31999969482422,110.33000183105469,110.30999755859375,110.31999969482422,323900.0
104.82655334472656,110.30000305175781,110.33000183105469,110.30000305175781,110.30999755859375,1421200.0
104.82655334472656,110.30000305175781,110.30999755859375,110.29000091552734,110.30999755859375,502000.0
104.83607482910156,110.30999755859375,110.30999755859375,110.29000091552734,110.29000091552734,387700.0
104.84561157226562,110.31999969482422,110.31999969482422,110.29000091552734,110.30000305175781,677300.0
104.85511779785156,110.33000183105469,110.33000183105469,110.30999755859375,110.30999755859375,465900.0
104.8465347290039,110.26000213623047,110.2699966430664,110.23999786376953,110.26000213623047,765200.0
104.8465347290039,110.26000213623047,110.27999877929688,110.23999786376953,110.23999786376953,630600.0
104.87506866455078,110.29000091552734,110.29000091552734,110.26000213623047,110.2699966430664,766000.0
104.86554718017578,110.27999877929688,110.29000091552734,110.27999877929688,110.29000091552734,505600.0
104.87506866455078,110.29000091552734,110.30000305175781,110.27999877929688,110.27999877929688,283200.0
104.89407348632812,110.30999755859375,110.31999969482422,110.29000091552734,110.30000305175781,2431100.0
104.90361785888672,110.31999969482422,110.31999969482422,110.29000091552734,110.30999755859375,2168000.0
104.89407348632812,110.30999755859375,110.31999969482422,110.30000305175781,110.31999969482422,880500.0
104.92261505126953,110.33999633789062,110.33999633789062,110.30999755859375,110.30999755859375,1046000.0
104.92261505126953,110.33999633789062,110.33999633789062,110.31999969482422,110.33000183105469,763600.0
104.91311645507812,110.33000183105469,110.3499984741211,110.31999969482422,110.33000183105469,1376800.0
104.91311645507812,110.33000183105469,110.33999633789062,110.31999969482422,110.33000183105469,1220700.0
104.92261505126953,110.33999633789062,110.3499984741211,110.33000183105469,110.3499984741211,676000.0
104.91311645507812,110.33000183105469,110.3499984741211,110.31999969482422,110.3499984741211,538200.0
104.92261505126953,110.33999633789062,110.3499984741211,110.31999969482422,110.33000183105469,476800.0
104.87506866455078,110.29000091552734,110.33999633789062,110.29000091552734,110.33999633789062,1317600.0
104.92261505126953,110.33999633789062,110.33999633789062,110.30000305175781,110.30999755859375,651600.0
104.92261505126953,110.33999633789062,110.37000274658203,110.33000183105469,110.33000183105469,863300.0
104.94161224365234,110.36000061035156,110.37000274658203,110.33000183105469,110.33000183105469,755700.0
104.96062469482422,110.37999725341797,110.37999725341797,110.33999633789062,110.33999633789062,1189300.0
104.9482650756836,110.30000305175781,110.31999969482422,110.29000091552734,110.30000305175781,452500.0
104.95779418945312,110.30999755859375,110.30999755859375,110.29000091552734,110.30000305175781,346000.0
104.97684478759766,110.33000183105469,110.33000183105469,110.30000305175781,110.30000305175781,550000.0
104.96733093261719,110.31999969482422,110.33000183105469,110.30000305175781,110.33000183105469,268500.0
104.96733093261719,110.31999969482422,110.33000183105469,110.30999755859375,110.33000183105469,367700.0
104.98633575439453,110.33999633789062,110.33999633789062,110.30999755859375,110.33999633789062,886100.0
104.9482650756836,110.30000305175781,110.33999633789062,110.29000091552734,110.33000183105469,1210800.0
104.95779418945312,110.30999755859375,110.31999969482422,110.30000305175781,110.30999755859375,660600.0
104.97684478759766,110.33000183105469,110.33000183105469,110.30999755859375,110.30999755859375,578400.0
104.995849609375,110.3499984741211,110.3499984741211,110.30999755859375,110.33000183105469,289900.0
104.995849609375,110.3499984741211,110.3499984741211,110.33000183105469,110.3499984741211,318100.0
105.01487731933594,110.37000274658203,110.37000274658203,110.33999633789062,110.3499984741211,573400.0
105.00534057617188,110.36000061035156,110.37999725341797,110.3499984741211,110.37000274658203,771000.0
105.02437591552734,110.37999725341797,110.37999725341797,110.36000061035156,110.36000061035156,602200.0
105.02437591552734,110.37999725341797,110.38999938964844,110.37000274658203,110.37999725341797,229100.0
105.00534057617188,110.36000061035156,110.38999938964844,110.3499984741211,110.38999938964844,480100.0
105.02437591552734,110.37999725341797,110.37999725341797,110.36000061035156,110.37000274658203,315500.0
105.02437591552734,110.37999725341797,110.38999938964844,110.36000061035156,110.36000061035156,263900.0
105.03389739990234,110.38999938964844,110.4000015258789,110.37000274658203,110.37000274658203,319300.0
