Date,VOO,VEA,VB,VWO,BND
2017-06-01,205.74365234375,36.792720794677734,126.84253692626953,36.36249542236328,72.84727478027344
2017-06-02,206.38833618164062,37.14463806152344,127.3122329711914,36.477684020996094,73.08769226074219
2017-06-05,206.25018310546875,36.98627853393555,126.71101379394531,36.477684020996094,72.9719009399414
2017-06-06,205.66079711914062,36.898292541503906,126.35399627685547,36.5042724609375,73.10546875
2017-06-07,206.00155639648438,36.87190246582031,126.26006317138672,36.477684020996094,73.00756072998047
2017-06-08,206.07521057128906,36.81910705566406,127.42495727539062,36.54856872558594,72.9541244506836
2017-06-09,205.83578491210938,36.68714904785156,127.75373840332031,36.300479888916016,72.89178466796875
2017-06-12,205.75289916992188,36.57277297973633,127.77253723144531,36.16756820678711,72.8740005493164
2017-06-13,206.7567138671875,36.88949966430664,128.69322204589844,36.335914611816406,72.89178466796875
2017-06-14,206.53570556640625,36.84550857543945,127.9886474609375,36.309329986572266,73.158935546875
2017-06-15,206.12127685546875,36.44960403442383,127.434326171875,35.9903678894043,73.07878112792969
2017-06-16,206.17652893066406,36.775123596191406,127.28406524658203,36.10554122924805,73.158935546875
2017-06-19,207.8618621826172,36.907100677490234,128.23287963867188,36.34477996826172,73.05208587646484
2017-06-20,206.49887084960938,36.57277297973633,127.03041076660156,35.910621643066406,73.158935546875
2017-06-21,206.41598510742188,36.538944244384766,126.5061264038086,36.04703903198242,73.19454193115234
2017-06-22,206.2962646484375,36.61016845703125,126.78849792480469,36.1807746887207,73.22127532958984
2017-06-23,206.64779663085938,36.690269470214844,127.5321044921875,36.31451416015625,73.23905181884766
2017-06-26,206.7125701904297,36.761474609375,127.95564270019531,36.69790267944336,73.3191909790039
2017-06-27,205.06581115722656,36.75257873535156,126.80731964111328,36.31451416015625,73.06988525390625
2017-06-28,206.8790740966797,37.081912994384766,128.4357147216797,36.528499603271484,73.06988525390625
2017-06-29,205.09356689453125,36.70806884765625,127.49446105957031,36.11836242675781,72.91851806640625
2017-06-30,205.4358673095703,36.77928161621094,127.57913970947266,36.403682708740234,72.86509704589844
2017-07-03,205.88919067382812,36.70806884765625,128.47340393066406,36.57307815551758,72.87311553955078
2017-07-05,206.25,36.72587585449219,128.05917358398438,36.51066589355469,72.91783905029297
2017-07-06,204.39968872070312,36.50333786010742,126.27079010009766,36.10945510864258,72.74796295166016
2017-07-07,205.69493103027344,36.5656623840332,127.50382995605469,36.207523345947266,72.73008728027344
2017-07-10,205.90773010253906,36.62796401977539,127.05204772949219,36.466087341308594,72.76583099365234
2017-07-11,205.7504119873047,36.743675231933594,127.3720703125,36.72464370727539,72.83734130859375
2017-07-12,207.29539489746094,37.073020935058594,128.32275390625,37.42008590698242,73.00726318359375
2017-07-13,207.64694213867188,37.17983627319336,128.5110321044922,37.5270881652832,72.98041534423828
2017-07-14,208.59059143066406,37.44685363769531,128.93455505371094,37.91047286987305,73.00726318359375
2017-07-17,208.6183319091797,37.38455581665039,129.226318359375,37.71430969238281,73.10559844970703
2017-07-18,208.7755889892578,37.464664459228516,128.91574096679688,37.77672576904297,73.27547454833984
2017-07-19,209.87648010253906,37.64268493652344,130.242919921875,38.142276763916016,73.28441619873047
2017-07-20,209.94125366210938,37.76730728149414,130.242919921875,38.06202697753906,73.32914733886719
2017-07-21,209.7932586669922,37.66938781738281,129.7440643310547,37.98179244995117,73.40958404541016
2017-07-24,209.71923828125,37.598182678222656,130.01702880859375,38.12444305419922,73.37386322021484
2017-07-25,210.21881103515625,37.624881744384766,131.07122802734375,38.06202697753906,73.09664916992188
2017-07-26,210.28358459472656,37.86521530151367,130.4029541015625,38.33842468261719,73.27547454833984
2017-07-27,210.03379821777344,37.722801208496094,129.7158203125,38.142276763916016,73.18608856201172
2017-07-28,209.7932586669922,37.758392333984375,129.30166625976562,38.28491973876953,73.32020568847656
2017-07-31,209.67298889160156,37.8385124206543,129.09461975097656,38.34734344482422,73.311279296875
2017-08-01,210.1448211669922,38.0521354675293,129.39578247070312,38.50782775878906,73.609375
2017-08-02,210.2650604248047,38.03433609008789,128.27569580078125,38.59698486328125,73.5644760131836
2017-08-03,209.89503479003906,37.980926513671875,127.78622436523438,38.454341888427734,73.71712493896484
2017-08-04,210.24658203125,38.03433609008789,128.32275390625,38.55241012573242,73.60039520263672
2017-08-07,210.58889770507812,38.06103515625,128.3886260986328,38.85555648803711,73.6273422241211
2017-08-08,210.1725616455078,37.86521530151367,128.0968475341797,38.802059173583984,73.52854919433594
2017-08-09,210.05230712890625,37.76730728149414,127.0897216796875,38.588077545166016,73.58241271972656
2017-08-10,207.16586303710938,37.224327087402344,124.99067687988281,37.696475982666016,73.69017028808594
2017-08-11,207.44342041015625,37.21543502807617,125.31070709228516,37.81238555908203,73.75300598144531
2017-08-14,209.4786834716797,37.47356033325195,126.76966094970703,38.142276763916016,73.69914245605469
2017-08-15,209.49722290039062,37.437957763671875,126.03546142578125,38.115535736083984,73.57342529296875
2017-08-16,209.83026123046875,37.66938781738281,126.35553741455078,38.579166412353516,73.68119049072266
2017-08-17,206.56451416015625,37.24213790893555,124.19999694824219,38.088783264160156,73.81590270996094
2017-08-18,206.1852264404297,37.34894943237305,124.0870590209961,38.36517333984375,73.77996826171875
2017-08-21,206.43505859375,37.357845306396484,124.06824493408203,38.463253021240234,73.81590270996094
2017-08-22,208.52586364746094,37.54478073120117,125.2636489868164,38.802059173583984,73.72611236572266
2017-08-23,207.81349182128906,37.56258010864258,125.05656433105469,38.989288330078125,73.94155883789062
